0.000000 -0.005597 -0.175499 0.016271 0.745050 -0.010930 -0.522367 -0.003635 -0.438188 -0.001195 0.742171 0.004540 -0.264617 0.034388 0.004616 0.000494 0.000000 -0.003414 -0.002061 -0.264675 1.569656 -0.267500 0.005033 0.262560 0.003808 0.007179 -0.000570 0.261979 -1.568846 -0.268255 -0.003867 -0.262861
0.001000 -0.005310 -0.175258 0.016040 0.744628 -0.010576 -0.522615 -0.003419 -0.438234 -0.001474 0.742455 0.004889 -0.265270 0.034082 0.004715 0.000528 0.000000 -0.003388 -0.001995 -0.264444 1.569675 -0.267018 0.005045 0.262430 0.003536 0.007166 -0.000487 0.261832 -1.568824 -0.268003 -0.003833 -0.262779
0.002000 -0.005024 -0.175016 0.015807 0.744216 -0.010223 -0.522862 -0.003202 -0.438282 -0.001755 0.742753 0.005235 -0.265930 0.033779 0.004810 0.000560 0.000000 -0.003366 -0.001924 -0.264215 1.569692 -0.266548 0.005054 0.262301 0.003269 0.007152 -0.000403 0.261691 -1.568804 -0.267758 -0.003800 -0.262697
0.003000 -0.004742 -0.174774 0.015573 0.743815 -0.009870 -0.523109 -0.002985 -0.438332 -0.002037 0.743065 0.005578 -0.266595 0.033479 0.004899 0.000592 0.000000 -0.003347 -0.001851 -0.263990 1.569708 -0.266089 0.005060 0.262172 0.003005 0.007137 -0.000319 0.261557 -1.568786 -0.267518 -0.003770 -0.262616
0.004000 -0.004463 -0.174531 0.015339 0.743428 -0.009518 -0.523361 -0.002768 -0.438382 -0.002318 0.743390 0.005917 -0.267260 0.033182 0.004986 0.000622 0.000000 -0.003331 -0.001774 -0.263769 1.569722 -0.265641 0.005064 0.262043 0.002745 0.007120 -0.000235 0.261428 -1.568770 -0.267286 -0.003741 -0.262535
0.005000 -0.004187 -0.174287 0.015106 0.743054 -0.009168 -0.523622 -0.002553 -0.438434 -0.002598 0.743725 0.006254 -0.267918 0.032888 0.005071 0.000652 0.000000 -0.003319 -0.001694 -0.263551 1.569735 -0.265204 0.005066 0.261915 0.002488 0.007103 -0.000151 0.261305 -1.568755 -0.267059 -0.003714 -0.262456
0.006000 -0.003912 -0.174044 0.014878 0.742694 -0.008820 -0.523896 -0.002339 -0.438487 -0.002874 0.744070 0.006589 -0.268569 0.032599 0.005156 0.000681 0.000000 -0.003309 -0.001612 -0.263337 1.569746 -0.264778 0.005066 0.261787 0.002234 0.007085 -0.000068 0.261188 -1.568743 -0.266838 -0.003689 -0.262377
0.007000 -0.003638 -0.173799 0.014653 0.742349 -0.008473 -0.524183 -0.002126 -0.438540 -0.003146 0.744424 0.006924 -0.269209 0.032313 0.005242 0.000709 0.000000 -0.003302 -0.001528 -0.263126 1.569756 -0.264360 0.005064 0.261661 0.001982 0.007067 0.000014 0.261075 -1.568732 -0.266623 -0.003665 -0.262299
0.008000 -0.003368 -0.173555 0.014432 0.742018 -0.008127 -0.524483 -0.001914 -0.438593 -0.003415 0.744787 0.007261 -0.269842 0.032031 0.005329 0.000737 0.000000 -0.003297 -0.001441 -0.262919 1.569764 -0.263950 0.005060 0.261535 0.001732 0.007048 0.000097 0.260966 -1.568723 -0.266413 -0.003644 -0.262221
0.009000 -0.003101 -0.173312 0.014214 0.741702 -0.007782 -0.524797 -0.001702 -0.438648 -0.003681 0.745160 0.007604 -0.270470 0.031751 0.005418 0.000763 0.000000 -0.003294 -0.001352 -0.262716 1.569772 -0.263548 0.005054 0.261411 0.001483 0.007028 0.000180 0.260861 -1.568716 -0.266210 -0.003624 -0.262144
0.010000 -0.002840 -0.173069 0.013998 0.741399 -0.007436 -0.525124 -0.001489 -0.438702 -0.003945 0.745542 0.007953 -0.271095 0.031474 0.005509 0.000789 0.000000 -0.003292 -0.001261 -0.262517 1.569779 -0.263151 0.005047 0.261288 0.001234 0.007009 0.000263 0.260759 -1.568710 -0.266013 -0.003606 -0.262067
0.011000 -0.002583 -0.172828 0.013784 0.741110 -0.007091 -0.525462 -0.001277 -0.438758 -0.004207 0.745935 0.008309 -0.271717 0.031198 0.005601 0.000815 0.000000 -0.003291 -0.001167 -0.262321 1.569786 -0.262760 0.005039 0.261167 0.000985 0.006991 0.000347 0.260660 -1.568705 -0.265821 -0.003589 -0.261990
0.012000 -0.002331 -0.172587 0.013570 0.740835 -0.006744 -0.525811 -0.001064 -0.438813 -0.004468 0.746337 0.008671 -0.272337 0.030926 0.005696 0.000839 0.000000 -0.003291 -0.001072 -0.262128 1.569792 -0.262374 0.005030 0.261048 0.000736 0.006972 0.000432 0.260564 -1.568701 -0.265635 -0.003573 -0.261914
0.013000 -0.002085 -0.172347 0.013357 0.740574 -0.006397 -0.526171 -0.000852 -0.438869 -0.004727 0.746750 0.009038 -0.272957 0.030655 0.005792 0.000863 0.000000 -0.003291 -0.000974 -0.261938 1.569798 -0.261992 0.005019 0.260931 0.000486 0.006955 0.000517 0.260471 -1.568699 -0.265455 -0.003559 -0.261837
0.014000 -0.001843 -0.172108 0.013144 0.740326 -0.006048 -0.526542 -0.000639 -0.438924 -0.004985 0.747172 0.009411 -0.273576 0.030388 0.005889 0.000887 0.000000 -0.003291 -0.000875 -0.261752 1.569805 -0.261614 0.005009 0.260817 0.000236 0.006938 0.000604 0.260380 -1.568698 -0.265280 -0.003545 -0.261761
